PER_PROGRAM_BASELINE
Benchmark,Precision,Recall
0.0007248081417682846,0.3197,0.8843,0.4696
0.0007250243475954694,0.3197,0.8843,0.4696
0.0007259896215937765,0.3197,0.8843,0.4696
0.0007260808900084211,0.3197,0.8843,0.4697
0.0007261032136798531,0.3197,0.8843,0.4697
0.0007266014236225107,0.3197,0.8843,0.4697
0.0007268674023935512,0.3197,0.8843,0.4697
0.0007271880993115223,0.3197,0.8843,0.4697
0.0007273759619199896,0.3198,0.8843,0.4697
0.0007274185627948006,0.3198,0.8843,0.4697
0.0007276448109387342,0.3198,0.8843,0.4697
0.0007281685035977468,0.3198,0.8843,0.4697
0.0007289388244627161,0.3198,0.8843,0.4697
0.0007290836109155539,0.3198,0.8843,0.4697
0.0007296645006386128,0.3198,0.8843,0.4697
