PER_PROGRAM_BASELINE
Benchmark,Precision,Recall
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url3ee04818e8_abliss_poker_tgz-pJ8-TestJ8,0.6828,0.5211
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url416ee5b4ee_martinmarinov_HonProj_tgz-pJ8-martin_gui_MainJ8,0.6697,0.8677
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8,0.741,0.9741
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url3472127e1f_SergeyKrivohatskiy_tiny_database_tgz-pJ8-ru_spbau_tinydb_bufferManager_IndexTestJ8,0.668,0.5327
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url147ce07ebe_JoshuaKissoon_Kademlia_tgz-pJ8-kademlia_simulations_RoutingTableStateTestingJ8,1.0,0.0
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url1d5e9d990f_Telsis_jOCP_tgz-pJ8-com_telsis_jocp_sampleApp_BasicOCPAppJ8,0.5294,0.5612
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url21b471891f_Agetac_Model_tgz-pJ8-org_json_TestJ8,0.8694,0.9785
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url2e4fca7217_mark_lacdao_RPGClient_tgz-pJ8-org_nerv_rpgclient_MainJ8,0.5191,0.9744
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url270fc4f5ee_ykcilborw_Joust_tgz-pJ8-fri_patterns_interpreter_parsergenerator_examples_HowToOverrideLexerImplJ8,0.931,0.0499
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url063b9533f6_karlney_tetris_ai_tgz-pJ8-karlney_tetris_cmd_TetrisGameRunnerJ8,0.6577,0.4056
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url2f44efcfa6_wangyudong_sohutw_java_sdk_2_0_tgz-pJ8-com_sohu_t_api_sdk_json_TestJ8,0.7407,0.9805
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url28f181064f_simonjupp_java_skos_api_tgz-pJ8-example_CreateSKOSExampleJ8,1.0,0.0391
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url0067cdd33d_goldolphin_Mi_tgz-pJ8-mi_regex_CommonJ8,0.5756,1.0
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8,0.7795,0.9875
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url49584c1d41_Arrem_GGS_tgz-pJ8-com_gamezgalaxy_test_console_MainJ8,0.6907,0.4985
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8,0.9026,0.5853

 Area under curve,0.7515781572978298

PRECISION-RECALL CURVE POINTS
Probability Thresholds,Precision,Recall, F-measure
1e-14,0,1.0,0
0.0,0.3116,1.0,0.4752
0.0005443085094457623,0.3117,0.9511,0.4695
0.000544700389661531,0.3117,0.9511,0.4695
0.0005447276896886536,0.3117,0.9511,0.4695
0.0005447482149678706,0.3117,0.9511,0.4695
0.0005449689687453611,0.3117,0.9511,0.4695
0.0005450876377766765,0.3117,0.9511,0.4695
0.0005453095770681165,0.3117,0.9511,0.4695
0.0005453903540850678,0.3117,0.9511,0.4695
0.00054574695396276,0.3117,0.9511,0.4695
0.0005458270970496144,0.3117,0.9511,0.4695
0.0005458342946426032,0.3117,0.9511,0.4695
0.0005458485186806631,0.3117,0.9511,0.4696
0.0005463515338124249,0.3117,0.9511,0.4696
0.0005465150750381607,0.3117,0.9511,0.4696
0.0005466897137677415,0.3117,0.9511,0.4696
0.000546769474020767,0.3118,0.9511,0.4696
0.0005471719485059261,0.3118,0.9511,0.4696
0.0005473526014347789,0.3118,0.9511,0.4696
0.000547428235634719,0.3118,0.9511,0.4696
0.0005474932680379504,0.3118,0.9511,0.4696
0.0005475225263808391,0.3118,0.9511,0.4696
0.0005477739850665415,0.3118,0.9511,0.4696
0.0005481408420419776,0.3118,0.9511,0.4697
0.0005482491125857563,0.3118,0.9511,0.4697
0.0005483612824535682,0.3118,0.9511,0.4697
0.0005483938499916937,0.3118,0.9511,0.4697
0.0005485035064286957,0.3118,0.9511,0.4697
0.0005487204365296643,0.3118,0.9511,0.4697
0.0005488111179667252,0.3118,0.9511,0.4697
0.0005490966255967643,0.3118,0.9511,0.4697
0.0005491119213478152,0.3118,0.9511,0.4697
0.0005492621112845106,0.3119,0.9511,0.4697
0.0005493496297592435,0.3119,0.9511,0.4697
0.0005497169184659698,0.3119,0.9511,0.4697
0.0005497478038197757,0.3119,0.9511,0.4697
0.000549798180163178,0.3119,0.9511,0.4697
0.0005504211173765291,0.3119,0.9511,0.4697
0.000550882144173495,0.3119,0.9511,0.4697
0.0005513058453159572,0.3119,0.9511,0.4697
0.0005514004992833125,0.3119,0.9511,0.4697
0.0005516342993995985,0.3119,0.9511,0.4697
0.0005517385681215736,0.3119,0.9511,0.4697
0.0005518868533641829,0.3119,0.9511,0.4698
0.000552250321347323,0.3119,0.9511,0.4698
0.0005524209147628244,0.3119,0.9511,0.4698
0.0005527531378871062,0.3119,0.9511,0.4698
0.0005529251685401575,0.3119,0.9511,0.4698
0.0005540352890806118,0.3119,0.9511,0.4698
0.0005540788716060698,0.3119,0.9511,0.4698
0.0005541794998437908,0.312,0.9511,0.4698
0.0005544841683701627,0.312,0.9511,0.4698
0.0005546688598242563,0.312,0.9511,0.4698
0.0005546726165731011,0.312,0.9511,0.4698
0.0005547005380662187,0.312,0.9511,0.4698
0.0005551748215968486,0.312,0.9511,0.4698
0.000555230125865835,0.312,0.9511,0.4698
0.000555955465390007,0.312,0.9511,0.4698
0.0005562955243335572,0.312,0.9511,0.4699
0.0005572659164882765,0.312,0.9511,0.4699
0.0005576418647437596,0.312,0.9511,0.4699
0.0005579925568050616,0.312,0.9511,0.4699
0.0005580104062063791,0.312,0.9511,0.4699
0.0005580332415887975,0.312,0.9511,0.4699
0.0005583604536606969,0.312,0.9511,0.4699
0.0005584876558113994,0.312,0.9511,0.4699
0.000558898451841641,0.3121,0.9511,0.4699
0.0005589660038073673,0.3121,0.9511,0.47
0.0005590548156730827,0.3121,0.9511,0.47
0.0005593241147278311,0.3121,0.9511,0.47
0.0005596595187122413,0.3121,0.9511,0.47
0.0005600534305730415,0.3121,0.9511,0.47
0.0005613622202137106,0.3121,0.9511,0.47
0.0005613971233362681,0.3121,0.9511,0.47
0.0005616681959629565,0.3121,0.9511,0.47
0.0005617022791572608,0.3121,0.9511,0.47
0.0005617659804281775,0.3121,0.9511,0.47
0.0005619248306239428,0.3121,0.9511,0.47
0.0005619640133349137,0.3121,0.9511,0.47
0.0005624154890904347,0.3121,0.9511,0.47
0.0005628878473744645,0.3122,0.9511,0.47
0.000562894235514421,0.3122,0.9511,0.4701
0.0005637221466930173,0.3122,0.9511,0.4701
0.0005640203573996638,0.3122,0.9511,0.4701
0.0005643193244000234,0.3122,0.9511,0.4701
0.000564458432484497,0.3122,0.9511,0.4701
0.0005644969852052387,0.3122,0.9511,0.4701
0.0005652211586524044,0.3122,0.9511,0.4701
0.0005653307610994889,0.3122,0.9511,0.4701
0.000565708967525827,0.3122,0.9511,0.4701
0.0005658189300224667,0.3122,0.9511,0.4701
0.0005658318207977101,0.3122,0.9511,0.4701
0.0005659327643485145,0.3122,0.9511,0.4701
0.0005663154654048756,0.3122,0.9511,0.4701
0.0005664071481578776,0.3122,0.9511,0.4701
0.0005664845776322438,0.3122,0.9511,0.4701
0.0005674276806551554,0.3122,0.9511,0.4701
0.0005674487616524873,0.3122,0.9511,0.4701
0.0005678161355550134,0.3122,0.9511,0.4701
0.0005681628154634098,0.3122,0.9511,0.4701
0.0005683967318053365,0.3122,0.9511,0.4701
0.0005685480659074553,0.3123,0.9511,0.4701
0.000568898676768747,0.3123,0.9511,0.4701
0.0005691490861845193,0.3123,0.9511,0.4701
0.0005694931746072601,0.3123,0.9511,0.4701
0.0005701723701183419,0.3123,0.9511,0.4702
0.0005704850076846978,0.3123,0.9511,0.4702
0.0005706899720736132,0.3123,0.9511,0.4702
0.0005707727333095974,0.3123,0.9511,0.4702
0.0005711405061724829,0.3123,0.9511,0.4702
0.0005715843829948708,0.3123,0.9511,0.4702
0.0005718115100101095,0.3123,0.9511,0.4702
0.0005721552250103102,0.3123,0.9511,0.4702
0.0005722153944850043,0.3123,0.951,0.4702
0.0005726160285223351,0.3123,0.951,0.4703
0.0005726399463195546,0.3124,0.951,0.4703
0.0005727962548449461,0.3124,0.951,0.4703
0.0005728677727853292,0.3124,0.951,0.4703
0.0005728693711170328,0.3124,0.951,0.4703
0.0005731192697842688,0.3124,0.951,0.4703
0.0005732431578079773,0.3124,0.951,0.4703
0.0005734163386775035,0.3124,0.951,0.4703
0.0005735280445040298,0.3124,0.951,0.4703
0.0005735472954914935,0.3124,0.951,0.4703
0.0005735727667209869,0.3124,0.951,0.4704
0.0005736063897883466,0.3124,0.951,0.4704
0.000573841294605857,0.3125,0.951,0.4704
0.0005738748357457922,0.3125,0.951,0.4704
0.0005741897906186567,0.3125,0.951,0.4704
0.0005741982493769726,0.3125,0.951,0.4704
0.0005743714939763433,0.3125,0.951,0.4704
0.0005749263099236628,0.3125,0.951,0.4704
0.0005751122622592121,0.3125,0.951,0.4704
0.0005751904229235046,0.3125,0.951,0.4704
0.0005755438934814008,0.3125,0.951,0.4704
0.0005758751223254459,0.3125,0.951,0.4704
0.0005761182316491793,0.3125,0.951,0.4704
0.0005762716264394423,0.3125,0.951,0.4704
0.0005774369669588853,0.3125,0.951,0.4704
0.0005777126031655135,0.3125,0.951,0.4704
0.0005794980716705251,0.3125,0.951,0.4704
0.0005796383718436302,0.3125,0.951,0.4704
0.0005797701144773024,0.3125,0.951,0.4705
0.0005798798011644252,0.3126,0.951,0.4705
0.0005799691694885602,0.3126,0.951,0.4705
0.0005801600443631834,0.3126,0.951,0.4705
0.0005802947035154309,0.3126,0.951,0.4705
0.0005803355072435044,0.3126,0.951,0.4705
0.0005805113129679768,0.3126,0.951,0.4705
0.0005806936774720137,0.3126,0.951,0.4705
0.000580709713215741,0.3126,0.951,0.4705
0.0005816681438368958,0.3126,0.951,0.4705
0.0005816783812631458,0.3126,0.951,0.4705
0.0005819576557539643,0.3126,0.951,0.4705
0.0005819873962158725,0.3126,0.951,0.4705
0.0005821342163286142,0.3126,0.951,0.4705
0.0005822135265382728,0.3126,0.951,0.4706
0.00058232912011127,0.3126,0.951,0.4706
0.0005826355955339872,0.3126,0.951,0.4706
0.0005828011632686374,0.3126,0.951,0.4706
0.00058284594355024,0.3126,0.951,0.4706
0.0005830296859908248,0.3127,0.951,0.4706
0.0005831521308131051,0.3127,0.951,0.4706
0.0005834446244684856,0.3127,0.951,0.4706
0.0005838231422576226,0.3127,0.951,0.4706
0.0005838475941017112,0.3127,0.951,0.4706
0.0005840268609048583,0.3128,0.951,0.4707
0.0005843694042237586,0.3128,0.951,0.4707
0.0005847259619238256,0.3128,0.951,0.4707
0.0005849514488107822,0.3128,0.951,0.4708
0.0005849868904060087,0.3128,0.951,0.4708
0.0005851538993359503,0.3128,0.951,0.4708
0.0005852806354484513,0.3128,0.951,0.4708
0.000585866166624285,0.3128,0.951,0.4708
0.0005858829776344772,0.3128,0.951,0.4708
0.0005859908836571092,0.3128,0.951,0.4708
0.0005860628060228068,0.3128,0.951,0.4708
0.000586292090308589,0.3128,0.951,0.4708
0.000586393828550691,0.3128,0.951,0.4708
0.0005867007302795558,0.3128,0.951,0.4708
0.0005867224962945496,0.3128,0.951,0.4708
0.0005869944731774446,0.3128,0.951,0.4708
0.0005869992039214015,0.3128,0.951,0.4708
0.0005872827748665792,0.3128,0.951,0.4708
0.0005875192812340713,0.3128,0.951,0.4708
0.0005877772435454989,0.3128,0.951,0.4708
0.00058790499062439,0.3129,0.951,0.4708
0.0005882766301868323,0.3129,0.951,0.4708
0.000588331913262287,0.3129,0.951,0.4708
0.0005885849823762023,0.3129,0.951,0.4708
0.0005889027509461556,0.3129,0.951,0.4708
0.0005889430027051807,0.3129,0.951,0.4709
0.0005893257992332417,0.3129,0.951,0.4709
0.0005894212947979999,0.3129,0.951,0.4709
0.0005895434297297536,0.3129,0.951,0.4709
0.0005896202954414981,0.3129,0.951,0.4709
0.000589641564835675,0.3129,0.951,0.4709
0.0005899286709310354,0.3129,0.951,0.4709
0.0005900322187050336,0.3129,0.951,0.4709
0.0005901722522913689,0.3129,0.951,0.4709
0.0005906827027411429,0.3129,0.951,0.4709
0.0005906873902721549,0.3129,0.951,0.4709
0.0005907182978811871,0.3129,0.951,0.4709
0.000591376765913673,0.3129,0.951,0.4709
0.0005915864540964161,0.3129,0.951,0.4709
0.0005916845892023374,0.3129,0.951,0.4709
0.0005917437095202634,0.313,0.951,0.4709
0.0005921800095427177,0.313,0.951,0.471
0.0005926639607911557,0.313,0.951,0.471
0.000592828173947159,0.313,0.951,0.471
0.0005932931925665379,0.313,0.951,0.471
0.0005934537587108338,0.313,0.951,0.471
0.0005938752371535612,0.313,0.951,0.471
0.0005939856092424909,0.313,0.951,0.471
0.0005941563206875226,0.313,0.951,0.471
0.0005942040648357208,0.313,0.951,0.471
0.0005945013670679648,0.313,0.951,0.471
0.0005946106085371232,0.313,0.951,0.471
0.0005952809703044714,0.313,0.951,0.471
0.0005957471969615,0.313,0.951,0.471
0.0005958215045477176,0.313,0.951,0.471
0.0005959182615202237,0.3131,0.951,0.4711
0.0005960535251104479,0.3131,0.951,0.4711
0.000596102621904882,0.3131,0.951,0.4711
0.0005964881655103261,0.3131,0.951,0.4711
0.000596521174127235,0.3131,0.951,0.4711
0.0005965891103809949,0.3131,0.951,0.4711
0.0005967026684033086,0.3131,0.951,0.4711
0.0005969419345929204,0.3131,0.951,0.4711
0.0005976891254456001,0.3131,0.951,0.4711
0.0005977724917329213,0.3131,0.951,0.4711
0.0005978102460567984,0.3131,0.951,0.4711
0.0005985641806938617,0.3131,0.951,0.4711
0.0005986030331157927,0.3131,0.951,0.4711
0.0005991627539220404,0.3131,0.951,0.4711
0.0005996161290945192,0.3131,0.951,0.4711
0.0005996942224972025,0.3132,0.951,0.4712
0.0005998249919889543,0.3132,0.951,0.4712
0.0006001681632550107,0.3132,0.951,0.4712
0.0006001714592338796,0.3132,0.951,0.4712
0.0006002216545400957,0.3132,0.951,0.4712
0.0006002363352816234,0.3132,0.951,0.4712
0.0006005040872037291,0.3132,0.951,0.4712
0.0006011144789362831,0.3132,0.951,0.4712
0.0006011534700866998,0.3132,0.951,0.4712
0.000601451029113577,0.3132,0.951,0.4712
0.0006023020015171897,0.3132,0.951,0.4712
0.0006024237316798789,0.3132,0.951,0.4712
0.0006026694998029444,0.3147,0.951,0.4729
0.0006031575033029454,0.3147,0.951,0.4729
0.000603343319220854,0.3147,0.951,0.4729
0.0006034513694136505,0.3147,0.951,0.4729
0.0006035343968799025,0.3147,0.951,0.4729
0.0006036320076089096,0.3147,0.951,0.4729
0.0006037611130374795,0.3147,0.951,0.4729
0.0006041265325779717,0.3147,0.951,0.4729
0.0006041812238273763,0.3147,0.951,0.4729
0.0006049279683095662,0.3147,0.951,0.4729
0.0006050368426279165,0.3147,0.951,0.473
0.0006050795073259441,0.3147,0.951,0.473
0.0006051033292005535,0.3148,0.951,0.473
0.000605105051022985,0.3148,0.951,0.473
0.0006058041374041418,0.3148,0.951,0.473
0.0006058519321977183,0.3148,0.951,0.473
0.0006059058654177124,0.3148,0.951,0.473
0.0006060515406298963,0.3148,0.951,0.473
0.0006060747113697619,0.3148,0.951,0.473
0.0006068461542878742,0.3148,0.951,0.473
0.0006075948880061703,0.3148,0.951,0.473
0.0006076415423881611,0.3148,0.951,0.473
0.0006076692297137986,0.3148,0.951,0.473
0.0006082382911576966,0.3148,0.951,0.473
0.0006084255517099936,0.3148,0.951,0.473
0.0006086313963846967,0.3148,0.951,0.473
0.0006086831408256058,0.3148,0.951,0.473
0.0006086904817725398,0.3148,0.951,0.473
0.0006088558403447872,0.3148,0.951,0.473
0.0006101185876538549,0.3148,0.951,0.473
0.0006102403066907593,0.3148,0.951,0.473
0.0006106471890674806,0.3148,0.951,0.473
0.0006107085339990971,0.3148,0.951,0.473
0.0006110693686814936,0.3148,0.951,0.4731
0.0006112186372724484,0.3148,0.951,0.4731
0.0006112604718620593,0.3149,0.951,0.4731
0.0006116752505258505,0.3149,0.951,0.4731
0.000611872552416238,0.3149,0.951,0.4731
0.0006119108460494004,0.3149,0.951,0.4731
0.0006119148627839903,0.3149,0.951,0.4732
0.0006122858523548997,0.3149,0.951,0.4732
0.0006128868243114033,0.3149,0.951,0.4732
0.0006129956945183371,0.3149,0.951,0.4732
0.0006131123930481562,0.315,0.951,0.4732
0.0006132438619731815,0.315,0.951,0.4732
0.0006135208794114616,0.315,0.951,0.4732
0.0006136046657042735,0.315,0.951,0.4732
0.0006140170639030452,0.315,0.951,0.4732
0.0006144301851107009,0.315,0.951,0.4732
0.0006146229748425054,0.315,0.951,0.4732
0.0006149198571008594,0.315,0.951,0.4732
0.000615277456314942,0.315,0.951,0.4732
0.0006164732094773634,0.315,0.951,0.4733
0.0006165416022764167,0.315,0.951,0.4733
0.0006168902497471705,0.315,0.951,0.4733
0.0006169461675163278,0.315,0.951,0.4733
0.0006169808031376972,0.315,0.951,0.4733
0.0006169850162535093,0.315,0.951,0.4733
0.0006171787271103984,0.315,0.951,0.4733
0.0006174318987767452,0.315,0.951,0.4733
0.000618220612999843,0.3151,0.951,0.4733
0.0006183887881606943,0.3151,0.951,0.4733
0.0006188104249188926,0.3151,0.951,0.4734
0.0006188891270293587,0.3151,0.951,0.4734
0.0006189323694951844,0.3151,0.951,0.4734
0.0006191175951341117,0.3151,0.951,0.4734
0.0006195756921009583,0.3151,0.951,0.4734
0.0006205944832405555,0.3151,0.951,0.4734
0.0006212693726760376,0.3151,0.951,0.4734
0.0006212944395002414,0.3151,0.951,0.4734
